stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2:13:JDFS-18,,"Roudnice n.L.,,Chelčického",,50.42747115,14.2835684,661,,0,,Europe/Prague,0,
2:13:JDFS-2,,"Dubá,,aut.nádr.",,50.54132845,14.54045915,633,,0,,Europe/Prague,0,
2:13:JDFS-20,,"Roudnice n.L.,,Masný průmysl",,50.43025015,14.29185065,661,,0,,Europe/Prague,0,
2:13:JDFS-21,,"Roudnice n.L.,,zámecký park",,50.42394,14.2654486,661,,0,,Europe/Prague,0,
2:13:JDFS-25,,Snědovice,,50.5039673,14.3878345,652,,0,,Europe/Prague,0,
2:13:JDFS-26,,"Snědovice,Střížovice",,50.5173187,14.38384155,652,,0,,Europe/Prague,0,
2:13:JDFS-27,,"Snědovice,Sukorady",,50.5305886,14.4306502,634,,0,,Europe/Prague,0,
2:13:JDFS-28,,"Štětí,,Cihelná",,50.45566185,14.37047145,651,,0,,Europe/Prague,0,
2:13:JDFS-29,,"Štětí,,prádelna",,50.45676615,14.38300535,651,,0,,Europe/Prague,0,
2:13:JDFS-3,,"Tuhaň,,rozcestí Mošnice",,50.53034405,14.45555925,632,,0,,Europe/Prague,0,
2:13:JDFS-30,,"Štětí,,záv.",,50.460511225,14.3676057,651,,0,,Europe/Prague,0,
2:13:JDFS-31,,"Štětí,,žel.přejezd",,50.4589881,14.391119,651,,0,,Europe/Prague,0,
2:13:JDFS-32,,Tuhaň,,50.5367335,14.46702005,632,,0,,Europe/Prague,0,
2:13:JDFS-33,,"Úštěk,Vědlice,rozc.",,,,634,,0,,Europe/Prague,0,
2:13:JDFS-34,,"Snědovice,Velký Hubenov",,50.52808575,14.39929195,634,,0,,Europe/Prague,0,
2:13:JDFS-35,,Záluží,,50.45759722,14.32463494,684,,0,,Europe/Prague,0,
2:13:JDFS-36,,"Tuhaň,Pavličky,rozc.Zátyní",,50.5469513,14.5027604,632,,0,,Europe/Prague,0,
2:13:JDFS-37,,Dobříň,,50.4374324833333,14.2952079333333,681,,0,,Europe/Prague,0,
2:13:JDFS-38,,"Bechlín,Předonín,košíkárna",,50.4378948,14.3186865,682,,0,,Europe/Prague,0,
2:13:JDFS-39,,"Štětí,,centrum",,50.454093125,14.37730385,651,,0,,Europe/Prague,0,
2:13:JDFS-41,,"Račice,,Labe aréna",,50.45972,14.3462334,657,,0,,Europe/Prague,0,
2:13:JDFS-42,,"Štětí,,Boženy Němcové",,50.457,14.3739061,651,,0,,Europe/Prague,0,
2:13:JDFS-6,,"Štětí,Hněvice,Benzina rozc.",,50.44072,14.345808,682,,0,,Europe/Prague,0,
2:13:JDFS-7,,"Štětí,Hněvice,předmostí",,50.4554253,14.3617229,651,,0,,Europe/Prague,0,
2:13:JDFS-8,,"Záluží,Kozlovice,rozc.",,50.454607,14.31462235,684,,0,,Europe/Prague,0,
2:13:JDFS-9,,"Snědovice,Křešov",,50.49156,14.39628,652,,0,,Europe/Prague,0,
2:143:JDFS-10,,"Veliká Ves,,rozc.1.0",,50.2698361,13.3889637,565,,0,,Europe/Prague,0,
2:143:JDFS-12,,"Krásný Dvůr,Zlovědice,rozc.",,50.26359175,13.39022825,933,,0,,Europe/Prague,0,
2:147:JDFS-1,,Český Jiřetín,,50.7071457,13.5424728,261,,0,,Europe/Prague,0,
2:147:JDFS-10,,"Klíny,,rozc.Mníšek",,50.63830855,13.55144355,262,,0,,Europe/Prague,0,
2:147:JDFS-11,,"Klíny,,Šumenské údolí",,50.66246135,13.54509305,262,,0,,Europe/Prague,0,
2:147:JDFS-15,,"Litvínov,Písečná",,50.6071379,13.58299685,221,,0,,Europe/Prague,0,
2:147:JDFS-16,,"Klíny,Rašov",,50.61934605,13.57933695,262,,0,,Europe/Prague,0,
2:147:JDFS-17,,"Klíny,Sedlo",,50.62279225,13.5699854,262,,0,,Europe/Prague,0,
2:147:JDFS-19,,"Český Jiřetín,Fláje,přehrada",,50.68718215,13.5792451,261,,0,,Europe/Prague,0,
2:147:JDFS-2,,"Český Jiřetín,,pož.zbroj.",,50.7077135,13.54740665,261,,0,,Europe/Prague,0,
2:147:JDFS-3,,"Český Jiřetín,,u pily",,50.7032922,13.55569695,261,,0,,Europe/Prague,0,
2:147:JDFS-4,,"Český Jiřetín,Fláje",,50.68877,13.5850029,261,,0,,Europe/Prague,0,
2:147:JDFS-5,,"Český Jiřetín,Fláje,zámeček rozc.",,50.6729928,13.56790495,261,,0,,Europe/Prague,0,
2:147:JDFS-6,,"Litvínov,Horní Ves",,50.6116986,13.5746503,221,,0,,Europe/Prague,0,
2:147:JDFS-7,,"Klíny,,host.",,50.63011205,13.5604081,262,,0,,Europe/Prague,0,
2:147:JDFS-8,,"Klíny,,Obora",,50.6436081,13.541914,262,,0,,Europe/Prague,0,
2:147:JDFS-9,,"Klíny,,ObÚ",,50.6355064,13.55691145,262,,0,,Europe/Prague,0,
2:149:JDFS-9,,Hoštka,,50.48672,14.3355742,654,,0,,Europe/Prague,0,
2:14:JDFS-1,,"Blšany,,nám.",,50.2176351666667,13.4713700333333,937,,0,,Europe/Prague,0,
2:14:JDFS-10,,"Podbořany,,aut.nádr. Dělnická",,50.2228731,13.407954675,931,,0,,Europe/Prague,0,
