route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
-CISR-582481-1,2:6:CIST-582481-1-115,2:6:CIST-582481-1-115,,582481 115,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-116,2:6:CIST-582481-1-116,,582481 116,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-117,2:6:CIST-582481-1-117,,582481 117,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-118,2:6:CIST-582481-1-118,,582481 118,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-119,2:6:CIST-582481-1-119,,582481 119,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-120,2:6:CIST-582481-1-120,,582481 120,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-121,2:6:CIST-582481-1-121,,582481 121,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-122,2:6:CIST-582481-1-122,,582481 122,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-123,2:6:CIST-582481-1-123,,582481 123,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-124,2:6:CIST-582481-1-124,,582481 124,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-125,2:6:CIST-582481-1-125,,582481 125,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-126,2:6:CIST-582481-1-126,,582481 126,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-127,2:6:CIST-582481-1-127,,582481 127,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-128,2:6:CIST-582481-1-128,,582481 128,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-129,2:6:CIST-582481-1-129,,582481 129,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-130,2:6:CIST-582481-1-130,,582481 130,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-132,2:6:CIST-582481-1-132,,582481 132,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-134,2:6:CIST-582481-1-134,,582481 134,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-201,2:6:CIST-582481-1-201,,582481 201,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-202,2:6:CIST-582481-1-202,,582481 202,0,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-203,2:6:CIST-582481-1-203,,582481 203,1,,,1,2
-CISR-582481-1,2:6:CIST-582481-1-204,2:6:CIST-582481-1-204,,582481 204,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-101,2:7:CIST-512436-1-101,,512436 101,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-102,2:7:CIST-512436-1-102,,512436 102,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-103,2:7:CIST-512436-1-103,,512436 103,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-104,2:7:CIST-512436-1-104,,512436 104,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-105,2:7:CIST-512436-1-105,,512436 105,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-106,2:7:CIST-512436-1-106,,512436 106,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-107,2:7:CIST-512436-1-107,,512436 107,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-108,2:7:CIST-512436-1-108,,512436 108,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-109,2:7:CIST-512436-1-109,,512436 109,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-110,2:7:CIST-512436-1-110,,512436 110,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-112,2:7:CIST-512436-1-112,,512436 112,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-113,2:7:CIST-512436-1-113,,512436 113,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-114,2:7:CIST-512436-1-114,,512436 114,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-115,2:7:CIST-512436-1-115,,512436 115,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-116,2:7:CIST-512436-1-116,,512436 116,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-117,2:7:CIST-512436-1-117,,512436 117,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-119,2:7:CIST-512436-1-119,,512436 119,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-120,2:7:CIST-512436-1-120,,512436 120,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-121,2:7:CIST-512436-1-121,,512436 121,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-122,2:7:CIST-512436-1-122,,512436 122,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-124,2:7:CIST-512436-1-124,,512436 124,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-126,2:7:CIST-512436-1-126,,512436 126,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-141,2:7:CIST-512436-1-141,,512436 141,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-142,2:7:CIST-512436-1-142,,512436 142,0,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-201,2:7:CIST-512436-1-201,,512436 201,1,,,1,2
-CISR-512436-1,2:7:CIST-512436-1-202,2:7:CIST-512436-1-202,,512436 202,0,,,1,2
